ID_REF,GSM1007141
cg00000292,0.833377
cg00002426,0.7809045
cg00003994,0.04797371
cg00005847,0.1919659
cg00006414,0.1878765
cg00007981,0.04408735
cg00008493,0.9557124
cg00008713,0.02569593
cg00009407,0.02826767
cg00010193,0.5950806
cg00011459,0.9041632
cg00012199,0.05798457
cg00012386,0.02468364
cg00012792,0.01764944
cg00013618,0.7700918
cg00014085,0.03410192
cg00014837,0.8344216
cg00015770,0.1400721
cg00016968,0.8443707
cg00019495,0.1364286
cg00020533,0.8807728
cg00021527,0.02256851
cg00022606,0.05016969
cg00022866,0.4738753
cg00024396,0.0514682
cg00024812,0.06200717
cg00025138,0.03472049
cg00025991,0.4512916
cg00027083,0.05229437
cg00027674,0.111148
cg00029826,0.1447543
cg00029931,0.05829285
cg00030047,0.1763559
cg00031162,0.532693
cg00032227,0.03014058
cg00032666,0.6605081
cg00033516,0.0435446
cg00033773,0.9639159
cg00034039,0.07967171
cg00035347,0.54813
cg00035623,0.07252286
cg00037763,0.8740268
cg00037940,0.8295006
cg00040861,0.05254035
cg00040873,0.2672928
cg00041575,0.09375
cg00042156,0.8277532
cg00043004,0.1142998
cg00043080,0.8924941
cg00044245,0.06123465
cg00044729,0.8555886
cg00047050,0.1339549
cg00047469,0.02851734
cg00049986,0.1358413
cg00050312,0.02348114
cg00051623,0.8244933
cg00051979,0.1374937
cg00053292,0.08023683
cg00053647,0.03922301
cg00054706,0.05064685
cg00055233,0.2358847
cg00056767,0.04661087
cg00057593,0.7541562
cg00058938,0.286266
cg00059225,0.3388615
cg00059424,0.03783691
cg00059740,0.0382891
cg00059930,0.7715191
cg00060762,0.04013803
cg00060882,0.2469677
cg00061059,0.1024735
cg00061629,0.1932878
cg00062776,0.9728248
cg00063144,0.8312691
cg00065385,0.9207681
cg00065408,0.03062798
cg00066153,0.8982377
cg00066816,0.2415534
cg00067471,0.150211
cg00069261,0.05922532
cg00071250,0.4608732
cg00071998,0.03613501
cg00072216,0.04472937
cg00073650,0.7977387
cg00075967,0.8058361
cg00076645,0.05531732
cg00077457,0.7762424
cg00077877,0.6228395
cg00078194,0.05055103
cg00078867,0.1674776
cg00079056,0.7716447
cg00079563,0.02955848
cg00080012,0.02784776
cg00081935,0.09088589
cg00081975,0.04446365
cg00083720,0.04396056
cg00083937,0.7383309
cg00084687,0.03059148
cg00089071,0.0596818
cg00090147,0.07310326
cg00091693,0.6830023
cg00093177,0.8800917
cg00094319,0.8022344
cg00094851,0.03206726
cg00095526,0.8935839
cg00095674,0.05543071
cg00096922,0.07243045
cg00097536,0.03740366
cg00098162,0.8006713
cg00098239,0.0223686
cg00099550,0.0233119
cg00101227,0.8471517
cg00103783,0.01697635
cg00105253,0.07461084
cg00105470,0.06455696
cg00107187,0.08367187
cg00107488,0.2310867
cg00107632,0.03127803
cg00108454,0.536963
cg00109274,0.02508687
cg00112517,0.1000579
cg00113020,0.7560372
cg00113951,0.1086582
cg00115714,0.22639
cg00116234,0.06502058
cg00116838,0.09612955
cg00117172,0.03184799
cg00119079,0.09348483
cg00121158,0.03761975
cg00121640,0.05938648
cg00121904,0.1457343
cg00123035,0.05252956
cg00126034,0.05312973
cg00126657,0.6525069
cg00126698,0.6675577
cg00128197,0.04041547
cg00128560,0.9480077
cg00128654,0.02854123
cg00128766,0.1312466
cg00128877,0.08274127
cg00129774,0.05296503
cg00131121,0.02638727
cg00131557,0.8957503
cg00132141,0.5480631
cg00133909,0.04873486
cg00134539,0.4958184
